tipo_registro,entidad,nit_entidad,departamento_entidad,id_proceso,referencia,nombre_proceso,descripcion,fecha_publicacion,precio_base,modalidad,adjudicado,proveedor,nit_proveedor,departamento_proveedor,valor_adjudicado,url_secop,noticias_entidad,nivel_menciones,es_proceso_candidato_s05,es_entidad_candidata_s05
historico_adjudicado,MINISTERIO DEL INTERIOR,830114475,Distrito Capital de Bogotá,CO1.REQ.9210709,CD-2262-2025,CONVENIO INTERADMINISTRATIVO - ORGANIZACION NACIONAL DE LOS PUEBLOS INDIGENAS DE LA AMAZONIA COLOMBIANA - OPIAC,"AUNAR ESFUERZOS ENTRE LA DIRECCIÓN DE ASUNTOS INDÍGENAS, ROM Y MINORÍAS Y OPIAC, PARA EL FORTALECIMIENTO ORGANIZATIVO Y DESARROLLO INTEGRAL PARA PUEBLOS INDÍGENAS AMAZÓNICOS EN COLOMBIA: PROMOVIENDO LA PARTICIPACIÓN ACTIVA Y LA PRESERVACIÓN CULTURAL EN EL MARCO DEL PLAN NACIONAL DE DESARROLLO 2022-2026",,3600000000,Contratación Directa (con ofertas),Si,OPIAC,830009653,Distrito Capital de Bogotá,3600000000.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9070285,31,alta,False,True
historico_adjudicado,INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,CO1.REQ.2209760,IDU-SASI-SGGC-012-2021 (Presentación de oferta),ALMACENAMIENTO Y CUSTODIA DE ARCHIVOS Y MEDIOS  MAGNÉTICOS (Presentación de oferta),"PRESTAR EL SERVICIO DE ALMACENAMIENTO Y CUSTODIA DE ARCHIVOS Y MEDIOS 
MAGNÉTICOS DEL IDU EN EL MARCO DEL FORTALECIMIENTO DE LA GESTIÓN DOCUMENTAL.",,2490998792,Selección abreviada subasta inversa,Si,TANDEM S.A.S,8600902477,Distrito Capital de Bogotá,2490998792.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2151056,8,media,False,True
historico_adjudicado,INSTITUTO NACIONAL DE SALUD,899999403,Distrito Capital de Bogotá,CO1.REQ.6930239,INS-CDE-336-2024,BIOMERIEUX COLOMBIA SAS,Suministro de reactivos y elementos de laboratorio para la ejecución de actividades y proyectos misionales del Instituto Nacional de Salud necesarios para la ejecución de los programas prioritarios de vigilancia y control en salud pública,,71796045,Contratación Directa (con ofertas),Si,BIOMERIEUX COLOMBIA S.A.S.,830023844,Distrito Capital de Bogotá,71796045.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6820026,1,baja,False,False
historico_adjudicado,CENAC AVIACION,830039207,Distrito Capital de Bogotá,CO1.REQ.512810,MC-249-CENAC-AVIACIÓN-2018,PRESTACION DE SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE EQUIPOS DE CÓMPUTO; REDES Y SISTEMAS PARA ESCUELA DE AVIACIÓN DEL EJÉRCITO.,"PRESTACION DE SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO DE EQUIPOS DE CÓMPUTO, REDES Y SISTEMAS PARA ESCUELA DE AVIACIÓN DEL EJÉRCITO.",,35000000,Mínima cuantía,Si,SYSTEMNET INGENIERIA SAS.,830122370,Cundinamarca,35000000.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.496467,1,baja,False,False
historico_adjudicado,PROCURADURIA GENERAL DE LA NACION,899999119,Distrito Capital de Bogotá,CO1.REQ.4234938,SAMC - 001 -2023 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),BLINDAJE DE VEHÍCULOS (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),SERVICIO DE BLINDAJE Y CAMBIO DE PINTURA PARA TRES (3) VEHÍCULOS TIPO CAMPERO CAMIONETA DE LA PROCURADURÍA GENERAL DE LA NACIÓN DE ACUERDO A LAS ESPECIFICACIONES TÉCNICAS.,,259096275,Selección Abreviada de Menor Cuantía,Si,Blinsecurity de Colombia Ltda,830125075,Distrito Capital de Bogotá,258999998.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4141240,195,alta,False,True
historico_adjudicado,ALCALDÍA MUNICIPIO DE CUMBITARA,800099072,Nariño,CO1.REQ.9296368,MC079-2025,ADQUISICIÓN DE SOAT,COMPRA DE SEGUROS OBLIGATORIOS CONTRA ACCIDENTES DE TRÁNSITO (SOAT) PARA DOS VOLQUETAS PERTENECIENTES AL PARQUE AUTOMOTOR DE PROPIEDAD DEL MUNICIPIO DE CUMBITARA,,2555800,Mínima cuantía,Si,Aseguradora Solidaria de Colombia Entidad Cooperativa.,860524654,Distrito Capital de Bogotá,2555800.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9155467,,,False,False
historico_adjudicado,FUNDACION GILBERTO ALZATE AVENDAÑO,860044113,Distrito Capital de Bogotá,CO1.REQ.414652,FUGA-PMC-018-2018,Adquisición e instalación de cortinas tipo blackout para la torre sede principal de la FUGA,Adquisición e instalación de cortinas tipo blackout para la torre sede principal de la FUGA,,1698000,Mínima cuantía,Si,SIO SAS,830080652,Distrito Capital de Bogotá,1159298.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.402406,,,False,False
historico_adjudicado,SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.**,900958564,Distrito Capital de Bogotá,CO1.REQ.1189552,I.C 017-2020,SUMINISTRO DE MEDICAMENTOS,"SUMINISTRO DE MEDICAMENTOS POS Y NO POS, PARA CUBRIR LAS NECESIDADES DE LOS SERVICIOS ASISTENCIALES DE LAS DIFERENTES UNIDADES QUE COMPONEN LA SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E",,1750000000,Contratación régimen especial (con ofertas),Si,LIFESUMIMED SAS,900240177,Atlántico,243743494.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1151186,,,False,False
historico_adjudicado,FONDO UNICO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,8001316486,Distrito Capital de Bogotá,CO1.REQ.6172111,FTIC-LP-003-2024 (Presentación de oferta),Implementar procesos de generación de habilidades digitales bajo la modalidad de bootcamps con destino a la totalidad de la población beneficiaria vinculada a la zona geográfica adjudicada; dando cump,"Implementar procesos de generación de habilidades digitales bajo la modalidad de bootcamps con destino a la totalidad de la población beneficiaria vinculada a la zona geográfica adjudicada, dando cumplimiento a los lineamientos pedagógicos establecidos por el MINTIC / FONDO ÚNICO DE TIC.",,328116937008,Licitación pública,Si,Asociación Nacional para el Desarrollo Social - ANDES,800228885,Santander,19269782895.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6066793,3,baja,False,True
historico_adjudicado,DIRECCIÓN GENERAL DE SANIDAD MILITAR+,8300396705,Distrito Capital de Bogotá,CO1.REQ.989339,156-MDN-COGFM-JEMCO-DIGSA-2019 (Presentación de oferta),ADQUISICIÓN DE INFRAESTRUCTURA TECNOLOGICA (Presentación de oferta),"ADQUISICIÓN DE SOLUCIÓN BASE DE DATOS ORACLE DATABASE APPKIANCE X7  2 HA, SISTEMA DE BACKUP, E HIPERCONVERGENCIA PARA LA DIRECCIÓN GENERAL DE SANIDAD MILITAR.",,2271404211,Selección abreviada subasta inversa,Si,BMIND SAS BIC,900105979,Distrito Capital de Bogotá,998880050.0,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.956957,,,False,False
