rango,id_del_proceso,entidad,departamento,objeto,modalidad,precio_base,razones,menciones_entidad,nivel_menciones,referencia_citada_en_prensa,url_secop,limite
49,CO1.REQ.4055301,TRANSMILENIO S.A.,Distrito Capital de Bogotá,Contrato de Prestación de Servicios y de Apoyo BRISNY DANIELA VALENZUELA RODRIGUEZ,Contratación directa,20900022,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3991807,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
50,CO1.REQ.5805525,CAMARA DE REPRESENTANTES,Distrito Capital de Bogotá,CPS_0536_2024,Contratación directa,20000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,29,alta,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5696451,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
51,CO1.REQ.6104461,(Secretaría Distrital de Integración Social),Distrito Capital de Bogotá,PRESTAR SERVICIOS DE APOYO A LA GESTION PARA LA EJECUCION DE LAS ACTIVIDADES ADMINISTRATIVAS OPERATIVAS Y CONTRACTUALES ,Contratación directa,20000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5992990,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
52,CO1.REQ.2727388,GOBIERNO DEPARTAMENTAL,Tolima,PRESTACION DE SERVICIOS,Contratación directa,19200000,entidad en prensa; contratación directa; 0 respuestas de proveedores,4,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2653147,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
53,CO1.REQ.2659390,GOBIERNO DEPARTAMENTAL,Tolima,PRESTACIÓN DE SERVICIOS,Contratación directa,18000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,4,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2586486,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
54,CO1.REQ.4164181,DEPARTAMENTO DEL META,Meta,ASISTIR Y APOYAR A LAS ENTIDADES TERRITORIALES Y SU RED PRESTADORA PUBLICA Y PRIVADA EN EL SEGUIMIENTO DE LA APLICACIÓN ,Contratación directa,18000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4068652,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
55,CO1.REQ.1411347,ALCALDÍA DE POPAYÁN,Cauca,PRESTAR SERVICIOS PROFESIONALES COMO ECONOMISTA A LA SECRETARÍA DE PLANEACIÓN; EN EL PROCESO DE REVISIÓN Y AJUSTE AL PLA,Contratación directa,17400000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1374133,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
56,CO1.REQ.2134134,(Secretaría Distrital de Integración Social),Distrito Capital de Bogotá,PRESTACION DE SERVICIOS DE APOYO A LA GESTION,Contratación directa,17384000,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2103175,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
57,CO1.REQ.4750867,DEPARTAMENTO DEL META,Meta,Asistir la implementación y seguimiento de las medidas de mitigación y adaptación al cambio climático establecidas en el,Contratación directa,16942333,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4651756,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
58,CO1.REQ.487533,SECRETARÍA DISTRITAL DE MOVILIDAD,Distrito Capital de Bogotá,prestación de servicios asistenciales a la DCV,Contratación directa,16907450,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.473461,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
59,CO1.REQ.9646376,GOBERNACION DE NARIÑO,Nariño,CONTRATO DE PRESTACION DE SERVICIOS,Contratación directa,16200000,entidad en prensa; contratación directa; 0 respuestas de proveedores,2,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9490782,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
60,CO1.REQ.6077873,GOBERNACIÓN DE LA GUAJIRA,La Guajira,DANIELA  VALENTINA GONZALEZ POSADA,Contratación directa,14000000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5966705,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
61,CO1.REQ.8014897,ALCALDÍA DE POPAYÁN,Cauca,PRESTAR SERVICIOS DE APOYO A LA GESTION  A LA SECRETARIA DE DESARROLLO  AGROAMBIENTAL Y DE FOMENTO ECONOMICO QUE PERMITA,Contratación directa,13800000,entidad en prensa; contratación directa; 0 respuestas de proveedores,1,baja,False,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7897148,la entidad aparece en prensa; este contrato específico NO está citado por su referencia
